respID,qID,altID,obsID,price,portion_size,smell,Nutrition,texture
1,1,1,1,15,5,Neutral,18%,Hard
1,1,2,1,15,3,Neutral,18%,Hard
1,1,3,1,6.99,3,Neutral,22%,Hard
1,2,1,2,6.99,5,Neutral,20%,Hard
1,2,2,2,15,5,Neutral,18%,Hard
1,2,3,2,6.99,1.5,Neutral,18%,Crumbly
1,3,1,3,6.99,1.5,Peanutbutter,20%,Crumbly
1,3,2,3,9.99,3,Peanutbutter,22%,Hard
1,3,3,3,9.99,5,Peanutbutter,20%,Crumbly
1,4,1,4,6.99,3,Peanutbutter,22%,Hard
1,4,2,4,15,3,Neutral,20%,Crumbly
1,4,3,4,6.99,3,Peanutbutter,20%,Hard
1,5,1,5,6.99,1.5,Peanutbutter,20%,Hard
1,5,2,5,15,1.5,Peanutbutter,22%,Hard
1,5,3,5,6.99,5,Peanutbutter,18%,Crumbly
1,6,1,6,9.99,3,Neutral,18%,Hard
1,6,2,6,6.99,3,Peanutbutter,22%,Crumbly
1,6,3,6,6.99,5,Peanutbutter,18%,Hard
1,7,1,7,9.99,3,Peanutbutter,20%,Crumbly
1,7,2,7,15,5,Peanutbutter,22%,Crumbly
1,7,3,7,9.99,1.5,Peanutbutter,18%,Hard
1,8,1,8,15,1.5,Neutral,20%,Hard
1,8,2,8,15,3,Neutral,20%,Crumbly
1,8,3,8,9.99,1.5,Peanutbutter,22%,Crumbly
1,9,1,9,6.99,1.5,Peanutbutter,22%,Crumbly
1,9,2,9,9.99,3,Neutral,22%,Hard
1,9,3,9,15,3,Neutral,18%,Crumbly
1,10,1,10,6.99,5,Peanutbutter,22%,Crumbly
1,10,2,10,9.99,1.5,Neutral,18%,Crumbly
1,10,3,10,6.99,3,Neutral,22%,Crumbly
2,1,1,11,15,5,Neutral,22%,Crumbly
2,1,2,11,9.99,5,Neutral,22%,Hard
2,1,3,11,9.99,5,Neutral,18%,Hard
2,2,1,12,9.99,5,Peanutbutter,20%,Hard
2,2,2,12,6.99,3,Peanutbutter,22%,Crumbly
2,2,3,12,6.99,1.5,Neutral,22%,Hard
2,3,1,13,15,3,Neutral,18%,Hard
2,3,2,13,6.99,3,Peanutbutter,22%,Crumbly
2,3,3,13,9.99,3,Peanutbutter,22%,Hard
2,4,1,14,6.99,1.5,Neutral,20%,Hard
2,4,2,14,15,5,Neutral,22%,Hard
